English,Hindi
weapon,हथियार
wear,घिसाव
weather,मौसम
wedding,शादी
week,सप्ताह
weekend,सप्ताहांत
weekly,साप्ताहिक
weigh,तौलना
weight,वजन
welcome,स्वागत हे
welfare,कल्याण
well,कुंआ
west,पश्चिम
western,वेस्टर्न
wet,गीला
what,क्या
whatever,जो भी हो
wheel,चक्र
when,जब
whenever,जब भी
where,कहाँ पे
whereas,जबकि
whether,या
which,कौन सा
while,जबकि
whisper,फुसफुसाना
white,सफेद
who,कौन
whole,पूरे
whom,किसको
whose,किसका
why,क्यों
wide,चौड़ा
widely,व्यापक रूप से
widespread,बड़े पैमाने पर
wife,बीवी
wild,जंगली
will,मर्जी
willing,इच्छुक
win,जीत
wind,हवा
window,खिड़की
wine,शराब
wing,विंग
winner,विजेता
winter,सर्दी
wipe,पोंछना
wire,तार
wisdom,बुद्धि
wise,ढंग
wish,तमन्ना
with,साथ
withdraw,वापस लेना
within,अंदर
without,बिना
witness,गवाह
woman,महिला
wonder,आश्चर्य
wonderful,प्रशंसनीय
wood,लकड़ी
wooden,लकड़ी का
word,शब्द
work,काम
worker,मज़दूर
working,कार्यरत
works,काम करता है
workshop,कार्यशाला
world,दुनिया
worried,चिंतित
worry,चिंता
worth,कीमत
would,चाहेंगे
wound,घाव
wrap,लपेटना
write,लिखना
writer,लेखक
writing,लिख रहे हैं
wrong,गलत
yard,यार्ड
yeah,हां
year,साल
yell,चीखना
yellow,पीला
yes,हां
yesterday,कल
yet,अभी तक
yield,पैदावार
you,तुम
young,युवा
your,आपका
yours,आपका अपना
yourself,स्वयं
youth,युवा
zone,क्षेत्र
